Income Breakdown
Date,Amount,Description
2025-12-11,1200.0,building plan

Total Income: 1200.0 

Expense Breakdown
Date,Amount,Category,Description
2025-02-26,1200.0,Rent,house rent
2025-02-26,220.0,Other,movies
2025-02-26,300.0,Other,watch movies
2025-02-26,500.0,Other,shopping
2025-02-26,300.0,Other,hospital
2025-02-26,20.0,Other,car
2025-02-26,20.0,Other,rent
2025-02-26,200.0,Groceries,food
2025-02-26,400.0,Other,travel
2025-02-26,60.0,Shopping,clothes
2025-02-26,20.0,Other,cinema
2025-02-26,300.0,Other,date trip
2025-02-26,20.0,Other,shoes
2025-02-26,10.0,Other,drugs
2025-02-26,300.0,Entertainment,date trip
2025-02-26,10.0,Other,shoes
2025-02-26,5.0,Other,soap

Total Expenses: 3885.0 
Actual Savings (after expenses):  -2685.0 

Budgets Breakdown
Category,Budgetted Amount,Spent,Remaining
Groceries,200.0,200.0,0.0

Total Budget Allocation: 200.0 
Planned Savings (after budgeting): 1000.0 
