Income Breakdown
Date,Amount,Description
2024-12-31,4000.0,mechanic
2024-01-10,1000.0,Monthly salary
2024-02-05,500.0,Part-time work

Total Income:,5500.0

Expense Breakdown
Date,Amount,Category,Description
2024-12-11,200.0,Health,Medical bills
2024-01-15,50.0,Groceries,Bought groceries
2024-01-20,200.0,Rent,January rent payment
2024-01-25,30.0,Transportation,Bus pass
2024-02-01,150.0,Shopping,Bought new shoes
2024-02-10,20.0,Entertainment,Movie ticket
2024-02-15,60.0,Utilities,Electricity bill

Total Expenses: 710.0 
Actual Savings (after expenses):  4790.0 

Budgets Breakdown
Category,Budgetted Amount,Spent,Remaining
Health,1000.0,200.0,800.0
Rent,1200.0,200.0,1000.0

Total Budget Allocation: 2200.0 
Planned Savings (after budgeting): 3300.0 
